560;1787;imigration;nord du Danube ;1000 evacuation des Avars turcophones ;Payment de tribus;danube devient s'appauvrit
711;1787;conquete;sud-ouest de l'Europe;Conquete de la peninsule Iberique;expansion;installation de le califat de Cordoue
820;1787;conquete;Europe de l'ouest;Domination Europe de l ouest;accisition des terres;naissance de la culture germanique
820;1787;conquete;Angleterre;conquete des iles britanniques;expansion;maintient des traditions celtes qui survivent dans un monde chretien
793;1066;developpement urbain;nord de l'Europe;developpement des grandes villes;domination par la culture viking;Les petits royaumes s associent pour accroitre leur puissance
1381;1787;epidemie;Angleterre;affaiblissement populaire ;justinien;la mort la moitie de la population de Constantinople
1348;1787;Maladie;zones cotieres, Europe;cholera;dechets dans la mere;Expansion dans le monde avec des milliers de deces
1313;1787;climat;Europe;Annees ensoleille;Climat seche;secheresse
1314;1787;climat;Europe;Annees ensoleille;Climat seche;secheresse
1450;1787;evolution;Italie du Nord;redefinition des alliances;echange;echange entre pays
1450;1787;evolution;Mediterranee et l'Europe du Nord;transport;expansion;exploration des autres continents
1640;1787;imobilite;France;disparution du lain;adaptation;le grec evolu
1453;1787;remission;Europe ;remission de fin moyen age;liberation des prisoniers;marxiste
1348;1787;remission;Huns;cholera;dechets dans la mere;disparution du peuple
1301;1317;remission;Europe;equilibre economique;l'annee commune a toute l'europe;evolution des villes
1348;1380;remission;Europe;deficit en grains;climat froid et humide ;nouvelle periode de famine 
1363;1364;remission;Europe;crise economique;grand hiver;famine
1369;1787;remission;Europe;nouvelle crise economique;mauvaise recolte;famine
1369;1370;remission;Europe;nouvelle crise economique;cause climatique;deces
1374;1370;remission;Europe;Grande crise economique;Peste, famine;grande famine
1382;1787;remission;France Est,France du Sud,France Ouest;Soulevement;mauvaise recolte;famine et deces
