-2900;-2000;Artenacien;France du Sud;patriarcale;none;none
-2900;-1900;Culture campaniforme;Catalogne,Espagne,Portugal,Allemagne Ouest,Allemagne Est;exogamie;none;none
-2800;-2300;Culture de Cucuteni-Trypillia;Roumanie,Ukraine,Bielorussie,Bulgarie; agglomerations proto-urbaines fortifiees;60000;none
-2700;-1650;Civilisation minoenne;Grece;patriarcale organisee;none;archaisme Grecque ancien
-2300;-2000;Culture de Cucuteni-Trypillia;Macedoine,Serbie,Hongrie,Slovaquie,Roumanie,Ukraine,Bielorussie,Bulgarie; agglomerations proto-urbaines fortifiees;90000;Cuccetani Archaique
-2300;-1600;Culture d'Unetice;Pays-bas,Allemagne Ouest,Allemagne Est,Suisse,Danemark,Rep Techque;patriarcale;none;none
-2200;-1800;Culture de Polada;Italie du Nord;patriarcale;none;none
-2000;-1400;Culture du Wessex;Angleterre,Ecosse,Pays de Galles;patriarcale;none;none
-2000;-1800;Culture de Cucuteni-Trypillia;Macedoine,Serbie,Hongrie,Slovaquie,Albanie,Bosnie,Croatie,Roumanie,Ukraine,Bielorussie,Bulgarie; agglomerations proto-urbaines fortifiees;100000;Cuccetani Avance
-1800;-1000;Culture de Polada;Macedoine,Serbie,Hongrie,Slovaquie,Albanie,Bosnie,Croatie,Roumanie,Ukraine,Bielorussie,Bulgarie,Italie Centre,Italie du Sud,Italie du Nord;patriarcale;500000;Cucceteni-Polada
