-1598000;-758000;industrie lithique de type oldowaye;Italie du Sud,Italie du Nord,Italie Centre,France Est,France du Sud,France Ouest;Homo antecessor;none;none
-1598000;-758000;industrie lithique de type oldowaye;Bulgarie,Portugal,Espagne,Catalogne;Homo antecessor;none;none
-758000;-348000;industrie lithique de type Acheuleen;Portugal,Espagne,Catalogne;Hommes de Neandertal;none;none
-758000;-348000;industrie lithique de type Acheuleen;France Est,France du Sud,France Ouest;Homo heidelbergensis;none;none
-348000;-43000;industrie lithique de type Mousterien;Italie du Sud,Italie du Nord,Italie Centre,Suisse,Pays-bas,Allemagne Ouest,Allemagne Est,Rep Techque,Croatie,Slovenie,Bosnie,Kosovo,Albanie,Macedoine,Serbie,Autriche,Hongrie,Slovaquie,Grece,Turquie;Homme de Neanderthal;none;none
-348000;-43000;industrie lithique de type Mousterien de tradition acheuleenne;France Est,France du Sud,France Ouest,Portugal,Espagne,Catalogne,Belgique,Angleterre,Ecosse,Pays de Galles,Irlande Nord,Irlande;Homme de Neanderthal;none;none
-158000;-43000;industrie lithique de type Micoquien;Suisse,Italie du Nord,Autriche,Hongrie,Rep Techque,Croatie,Slovenie,Bosnie,Kosovo,Albanie,Macedoine,Serbie,Slovaquie,Bulgarie,Roumanie,Pologne,Russie2,Ukraine,Bielorussie;Homme de Neanderthal;none;none
-43000;-29000;industrie Aurignacienne;Danemark,Rep Techque,Croatie,Slovenie,Bosnie,Kosovo,Albanie,Macedoine,Serbie,Pays-bas,Allemagne Ouest,Allemagne Est,Autriche,Hongrie,Slovaquie,Grece,Turquie,Bulgarie,Roumanie,Ukraine,Pologne,Russie2,Bielorussie,;primitif;none;none
-43000;-27000;industrie Chatelperronienne;France Est,France du Sud,France Ouest,Portugal,Espagne,Catalogne,Belgique,Angleterre,Ecosse,Pays de Galles,Irlande Nord,Irlande,Suisse,Italie du Sud,Italie du Nord,Italie Centre;Homme de Neandertal;none;none
-29000;-19000;culture Gravettienne;Allemagne Ouest,Allemagne Est,Belgique,Espagne,Catalogne,Italie du Sud,Italie du Nord,Italie Centre,Angleterre,Pays de Galles,France Est,France du Sud,France Ouest,Rep Techque;primitif;none;none
-19000;-17000;Solutreen;France Est,France du Sud,France Ouest,Portugal,Espagne,Catalogne,Belgique,Angleterre,Ecosse,Pays de Galles,Irlande Nord,Irlande,Suisse,Italie du Sud,Italie du Nord,Italie Centre;primitif;none;none
-18000;-8000;Epigravettien;Italie du Sud,Italie du Nord,Italie Centre,Croatie,Slovenie,Bosnie,Kosovo,Albanie,Macedoine,Serbie,Ukraine;primitif;none;none
-17000;-15000;Badegoulien;France Est,France du Sud,France Ouest,Portugal,Espagne,Catalogne,Belgique,Angleterre,Ecosse,Pays de Galles,Irlande Nord,Irlande,Suisse,Italie du Sud,Italie du Nord,Italie Centre;primitif;none;none
-15000;-12000;Magdalenien;France Est,France du Sud,France Ouest,Portugal,Espagne,Catalogne,Belgique,Angleterre,Ecosse,Pays de Galles,Irlande Nord,Irlande,Suisse,Italie du Sud,Italie du Nord,Italie Centre,Pologne;primitif;none;none
-11700;-8500;Sauveterrien;France Est,France du Sud,France Ouest,Italie du Sud,Italie du Nord,Italie Centre,Pays de Galles,Angletterre;primitif;none;none
-11000;-8500;Maglemosien;Bielorussie,Lituanie,Lettonie,Estonie,Finlande du Sud,Finlande du Nord,Suede du Sud,Suede du Nord,Norvege du Nord,Norvege du Nord,Russie du Nord;nomade primitif;none;none
-9400;-7500;Limbourg;France Ouest,Pays-bas;chasseurs ceuilleurs;none;none
-8600;-7600;Castelnoviens;Italie du Sud,Italie du Nord,Italie Centre,Croatie,Slovenie,Bosnie,Kosovo,Albanie,Macedoine,Serbie,Grece;primitif;none;none
-8500;-7300;Kongemosien;Finlande du Nord,Suede du Sud,Suede du Nord,Norvege du Nord,Norvege du Nord,Russie du Nord,Russie du Sud;commerce nomade;none;none
-8500;-5000;culture de Kunda ;Lituanie,Lettonie,Estonie,Finlande du Sud;commerce nomade;none;none
-7300;-6000;culture d'Ertebolelle;Pays-bas,Suede du Nord;sedentaire primitif;none;none
-7000;-4000;Culture de Narva;Russie du Nord,Russie du Sud,Rep Techque,Hongrie,Slovaquie,Roumanie,Ukraine,Pologne,Russie2,Bielorussie,Lituanie,Lettonie,Estonie;semi-sedentaires;none;none
-6500;-6000;Preceramique;Grece;semi-sedentaires;none;none
-6500;-6000;Sesklo;Grece;semi-sedentaires;none;none
-6200;-5700;Culture de la ceramique imprimee;Italie du Sud,Italie du Nord,Italie Centre;familliale;none;none
-6200;-5600;Culture de Starcevo;Croatie,Hongrie;chasseurs-ceuilleurs;none;none
-6000;-4000;Culture de Karanovo;Bulgarie;sedentaires;none;none
-5900;-5000;Culture de la ceramique cardiale;France du Sud;eleveurs;none;none
-5800;-5300;Culture de Guadone;Italie du Sud;eleveurs;none;none
-5600;-4600;Culture de Catignano;Italie Centre;agriculteurs;none;none
-5500;-4700;Culture rubanee;Pays-bas,Allemagne Ouest,Allemagne Est,Suisse,Danemark,Rep Techque;agro-pasteurs;none;none
-5500;-3500;Culture de Vinea;Croatie,Slovenie,Bosnie,Kosovo,Albanie,Macedoine,Serbie,Grece;agriculteurs;none;none
-5100;-2800;Culture de Cucuteni-Trypillia;Roumanie,Ukraine; agglomerations proto-urbaines fortifiees;30000;none
-4500;-4300;Culture de Rassen;Allemagne Ouest,Allemagne Est;agriculteurs;none;none
-4500;-3500;Culture de Diana;Sicile;elevage;none;none
-4500;-3300;Culture de Cortaillod;Suisse;sendentaires;none;none
-4400;-3500;Culture de Michelsberg;France Est,Allemagne Ouest;chasseur ceuilleurs;none;none
-4300;-3300;Chasseen;France du Sud,France Ouest;primitifs;none;none
-4200;-2800;Culture des vases a entonnoir;Danemark,Pologne,Allemagne Est;elitiste;none;none
-3900;-3500;Culture de Pfyn;Allemagne Ouest;sedentaires;none;none
-3700;-2100;Culture de Rinaldone;Italie Centre;pastoralisme;none;none
-3600;-2900;Culture du lac de Mondsee;Autriche;eleveurs;none;none
-3600;-2800;Culture de Baden;Hongrie;sedentaires;none;none
-3500;-2800;Culture de Wartberg;Allemagne Ouest;patrilocalite;none;none
-3500;-2200;Culture Yamna;Ukraine;patriarcat;none;none
-3400;-2700;Culture Seine-Oise-Marne;France Ouest;none;none;none
-3300;-2500;Culture de Remedello;Italie du Nord;agriculteurs;none;none
-3100;-2300;Culture de Gaudo/Laterza;Italie du Sud;eleveurs;none;none
-3000;-2200;Culture de la ceramique cordee;France Est,Allemagne Ouest,Allemagne Est,Pologne,Bielorussie,Autriche,Lituanie,Lettonie,Estonie,Finlande du Sud,Finlande du Nord,Suede du Sud,Suede du Nord,Norvege du Nord,Norvege du Nord,Russie du Nord,Russie du Sud,Russie2;agriculteurs;none;none
-2900;-2000;Artenacien;France du Sud;patriarcale;none;none
-2900;-1900;Culture campaniforme;Catalogne,Espagne,Portugal,Allemagne Ouest,Allemagne Est;exogamie;none;none
-2700;-1650;Civilisation minoenne;Grece;patriarcale organisee;none;archaisme Grecque ancien
-2300;-1600;Culture d'Unetice;Pays-bas,Allemagne Ouest,Allemagne Est,Suisse,Danemark,Rep Techque;patriarcale;none;none
-2200;-1600;Culture de Polada;Italie du Nord;patriarcale;none;none
-2200;-1200;Culture de Sroubna;Ukraine;patriarcale;none;none
-2000;-1400;Culture du Wessex;Angleterre,Ecosse,Pays de Galles;patriarcale;none;none
-1800;-1500;Culture de Bonnanaro;Sicile;patriarcale;none;none
-1800;-1000;Culture d'Hilversum;France Ouest,Belgique,Pays-bas;patriarcale;none;none
-1800;-500;Age du Bronze Danois;Danemark,Suede du Nord;patriarcale;none;proto-germanique
-1650;-1200;Culture des tumulus;Pays-bas,Allemagne Ouest,Allemagne Est,Suisse,Danemark,Rep Techque;patriarcale;none;none
-1600;-1100;Civilisation mycénienne;Grece;Royaute;none;lineaire B
-1300;-900;Culture des champs d'urnes;Pays-bas,Allemagne Ouest,Danemark,Rep Techque,Italie du Nord;patriarcale;none;proto celtique
-1200;-500;Culture de Hallstatt;Allemagne Est,SuisseRussie du Nord,Russie du Sud,Rep Techque,Hongrie,Slovaquie,Roumanie,Ukraine,Pologne,Russie2,Bielorussie,Lituanie,Lettonie,Estonie;patriarcale;none;none
-1100;-336;Grece antique;Grece;Cité états;none;Grec
-900;-540;Culture de Villanova;Italie du Nord,Italie Centre,Sicile;royaute;none;none
-800;-375;Culture de Golasecca;Italie du Nord,Suisse;hierarchie;none;Alphabet de Lugano
-753;-500;Empire Perse;Turquie;Empire;none;Perse
-600;-400;Rome;Italie du Sud,Italie Centre;Cite etat;none;latin
-450;-52;La Tene;France Est,France du Sud,France Ouest,Pays-bas,Allemagne Ouest,Allemagne Est,Suisse,Danemark,Rep Techque;tribales;none;celtique
-400;-146;Rome;Italie du Sud,Italie Centre,Sicile;Cite Etat;none;latin
-336;-323;Empire de Alexandre le Grand;Grece,Turquie,Bulgarie;Empire;none;Grec
-218;-202;Carthage;Catalogne;Royauté;none;Grec
